iter	Logloss
0	0.6836801993
1	0.6752699519
2	0.6676572527
3	0.6603411098
4	0.6546956027
5	0.6483102876
6	0.6422990128
7	0.6367315838
8	0.6315053304
9	0.6269047912
10	0.6222754453
11	0.6181393849
12	0.6143627988
13	0.6108709896
14	0.6078700985
15	0.6047056953
16	0.6018231624
17	0.5991629008
18	0.5966978341
19	0.5943068067
20	0.5921508486
21	0.5901398711
22	0.5880642504
23	0.5864365462
24	0.5847267107
25	0.5832200282
26	0.5818385284
27	0.5806071098
28	0.5792517013
29	0.5779184333
30	0.5768252914
31	0.5757511821
32	0.5748184396
33	0.5738590061
34	0.5729757802
35	0.5720768307
36	0.5712625435
37	0.5704517962
38	0.5697050089
39	0.5689989903
40	0.5683871172
41	0.5677447359
42	0.5670818403
43	0.5665245205
44	0.5659763365
45	0.5654910974
46	0.5649957868
47	0.5645373835
48	0.5640460068
49	0.5635981959
50	0.5631485256
51	0.5628340085
52	0.5624152806
53	0.5621171897
54	0.5617077136
55	0.5613691362
56	0.5610287327
57	0.560727137
58	0.5603802503
59	0.5601324435
60	0.5598791831
61	0.5596359703
62	0.5593610666
63	0.5590425277
64	0.5588066319
65	0.5585980176
66	0.558351765
67	0.5580943279
68	0.557834075
69	0.557588227
70	0.557398636
71	0.5571958964
72	0.5570059999
73	0.5568271896
74	0.5565336956
75	0.5563706368
76	0.5561194277
77	0.5558831344
78	0.5556804983
79	0.5554640232
80	0.5552264272
81	0.5550555381
82	0.5548482758
83	0.5546770772
84	0.5545090213
85	0.5543385882
86	0.5541767249
87	0.5539784836
88	0.5538058735
89	0.5536452061
90	0.5534670123
91	0.5533195623
92	0.5531620029
93	0.5529654444
94	0.5528035567
95	0.5525734751
96	0.5524528893
97	0.5523187283
98	0.5521701315
99	0.5520097636
100	0.5518573053
101	0.5516762417
102	0.5515264206
103	0.5514001709
104	0.5512866911
105	0.551082085
106	0.5509710832
107	0.5507996498
108	0.550691646
109	0.5505588116
110	0.5503891545
111	0.5502563268
112	0.5500863418
113	0.5499414447
114	0.5497989438
115	0.5496521742
116	0.5495351437
117	0.5493908686
118	0.5492034381
119	0.549039191
120	0.5488598065
121	0.5486895712
122	0.5485984475
123	0.5484218501
124	0.5482363045
125	0.548062615
126	0.5479119897
127	0.547718585
128	0.5475386938
129	0.5474117053
130	0.5473317015
131	0.547195949
132	0.5470919631
133	0.546999339
134	0.5468767879
135	0.5466979398
136	0.5465802514
137	0.5464389222
138	0.5462878128
139	0.5461803595
140	0.5460624259
141	0.5459108445
142	0.5457676321
143	0.5456294981
144	0.5455286638
145	0.5453434864
146	0.545192763
147	0.5449731912
148	0.5449057928
149	0.5447528808
150	0.5446476706
151	0.5445278073
152	0.5443734575
153	0.5442382535
154	0.5440377215
155	0.543876598
156	0.5438044635
157	0.5436815176
158	0.54357924
159	0.5434617391
160	0.5433245655
161	0.5431961811
162	0.5430303584
163	0.5428796395
164	0.542759244
165	0.5426617501
166	0.542522519
167	0.5423612436
168	0.5422732282
169	0.5421389152
170	0.5420228226
171	0.5418916883
172	0.5418021113
173	0.5416843472
174	0.5415256945
175	0.541433504
176	0.54133644
177	0.5412100784
178	0.5410794287
179	0.5409008052
180	0.5408413449
181	0.5406314297
182	0.5404815939
183	0.5403617692
184	0.5402257481
185	0.5401077832
186	0.5399607274
187	0.5398434943
188	0.5397251576
189	0.5396777183
190	0.5394949688
191	0.539406672
192	0.5392474529
193	0.5391467822
194	0.5390211632
195	0.5389139139
196	0.5387781034
197	0.5386871849
198	0.5385692406
199	0.5384917583
200	0.5383844862
201	0.5382919469
202	0.5381686049
203	0.5381220908
204	0.538014454
205	0.5378386535
206	0.5376985117
207	0.5376187017
208	0.5374517872
209	0.5373207738
210	0.5372262156
211	0.5371184767
212	0.53701639
213	0.5369085157
214	0.5367730627
215	0.536583844
216	0.5365038499
217	0.5363161488
218	0.5361526472
219	0.5360369349
220	0.5358526191
221	0.5357037289
222	0.5355940507
223	0.5355160018
224	0.5354362842
225	0.5353134349
226	0.5351502446
227	0.5350350125
228	0.5348273583
229	0.5346941261
230	0.5345725104
231	0.5344805346
232	0.534388945
233	0.5342432324
234	0.5341193872
235	0.5340499707
236	0.5339506761
237	0.5338242909
238	0.5337197502
239	0.5335890469
240	0.5334760612
241	0.5333559021
242	0.5332668066
243	0.5331264588
244	0.5330350289
245	0.5328673217
246	0.5327411043
247	0.5326836609
248	0.5325435985
249	0.5323901981
250	0.5322579861
251	0.5321393687
252	0.5319869938
253	0.5317972541
254	0.5316914461
255	0.5315850614
256	0.5315156273
257	0.5314196126
258	0.5312689716
259	0.5311463032
260	0.5310194565
261	0.5308492806
262	0.5306967847
263	0.530550724
264	0.5304013542
265	0.5302826363
266	0.5301685649
267	0.5300479798
268	0.5299621205
269	0.5297943479
270	0.529695236
271	0.5295989517
272	0.5294407361
273	0.5293363556
274	0.5291756512
275	0.5290714801
276	0.5289282724
277	0.5288126131
278	0.5286393637
279	0.5285030083
280	0.5283724986
281	0.5281822008
282	0.5280251149
283	0.5278997968
284	0.5277727337
285	0.5276440002
286	0.5274763098
287	0.5273504382
288	0.5272019381
289	0.5270806056
290	0.526990732
291	0.5268579355
292	0.5267701647
293	0.5266502107
294	0.5265226481
295	0.5263784524
296	0.5262805978
297	0.5260819283
298	0.5259211854
299	0.5257466194
300	0.5256241892
301	0.5255258032
302	0.5254456696
303	0.5253275337
304	0.5252051021
305	0.5250924446
306	0.5249716319
307	0.5248183206
308	0.524685174
309	0.524536656
310	0.5244161426
311	0.5242643005
312	0.524103078
313	0.5238974751
314	0.5237273078
315	0.5235810145
316	0.5234640275
317	0.5233745053
318	0.5232394649
319	0.5231210506
320	0.5230205757
321	0.5228647844
322	0.5227565764
323	0.5226322314
324	0.5224523713
325	0.5222685892
326	0.5221311322
327	0.5219429062
328	0.5218061051
329	0.5216630272
330	0.5214967416
331	0.5213878646
332	0.5212239055
333	0.521097793
334	0.5209599441
335	0.5207834075
336	0.520694038
337	0.5205457037
338	0.5203756981
339	0.5202036739
340	0.5200757635
341	0.5199630601
342	0.5198239866
343	0.5197053482
344	0.5195157748
345	0.5192918984
346	0.5191282956
347	0.5189883009
348	0.5188132911
349	0.5186459223
350	0.518533738
